"","Year","Rank","Title","Worldwide Lifetime Gross","Domestic Lifetime Gross","Domestic %","Foreign Lifetime Gross","Foreign %","tt","img","adj","rev","dec"
"24951",2012,"6,599","The Eight Rangers","$14,013,405","-","-","$14,013,405","100%","tt2292965","https://m.media-amazon.com/images/M/MV5BYTI1Y2YyZjctNmEzNC00NTAyLTk2MmMtZjI0YjRmNzY4ZmI4XkEyXkFqcGdeQXVyNDA5ODU0NDg@._V1_QL75_UY281_CR4,0,190,281_.jpg",1.29820709842664,18192301.8441273,"2010's"
"24398",2012,"6,703","Chronicle of My Mother","$13,575,636","-","-","$13,575,636","100%","tt1818443","https://m.media-amazon.com/images/M/MV5BYmRhYzMwOTYtMDg0Ni00MzAwLWFlN2ItOWJkZmRjNDRmNTc0XkEyXkFqcGdeQXVyNjc3MjQzNTI@._V1_QL75_UY281_CR3,0,190,281_.jpg",1.29820709842664,17623987.0208562,"2010's"
"24357",2012,"6,704","The Snow Queen","$13,567,781","-","-","$13,567,781","100%","tt2243621","https://m.media-amazon.com/images/M/MV5BY2JhOTRlMTYtMDhhOC00OTZkLTg5ZmEtNWQxNmYzZjMyZTViXkEyXkFqcGdeQXVyMjE5NjEyMjM@._V1_QL75_UY281_CR5,0,190,281_.jpg",1.29820709842664,17613789.6040981,"2010's"
"25586",2012,"6,749","Lightning Strike","$13,378,892","-","-","$13,378,892","100%","tt2262952","https://m.media-amazon.com/images/M/MV5BMGUwMDQyNDUtY2JkMy00MmUyLWIxNTgtZWNmY2Y1OGRkNjNkXkEyXkFqcGdeQXVyMTM3OTE2Mzg@._V1_QL75_UY281_CR4,0,190,281_.jpg",1.29820709842664,17368572.5634833,"2010's"
"24376",2012,"6,757","Dzhungli","$13,324,130","-","-","$13,324,130","100%","tt2261719","https://m.media-amazon.com/images/M/MV5BMDc3ODg3NWMtYTdjOS00NmJjLTg3NjEtODg4MGE0ZjcyOTY4XkEyXkFqcGdeQXVyNTcyNTg3Nzc@._V1_QL75_UY281_CR12,0,190,281_.jpg",1.29820709842664,17297480.1463593,"2010's"
"26302",2012,"6,763","Eiga Kureyon Shinchan: Arashi o yobu! Ora to uchuu to purinsesu","$13,305,162","-","-","$13,305,162","100%","tt2368717","https://m.media-amazon.com/images/M/MV5BYjNkZjU1YWUtOTRjYS00NTcxLThkYTctYWY0M2ExNjY2NzE4XkEyXkFqcGdeQXVyMzM4MjM0Nzg@._V1_QL75_UY281_CR6,0,190,281_.jpg",1.29820709842664,17272855.7541164,"2010's"
"24722",2012,"6,818","Kamen Rider Movie War Ultimatum: Kamen Rider vs. Kamen Rider Wizard & Fourze","$13,105,773","-","-","$13,105,773","100%","tt2519428","https://m.media-amazon.com/images/M/MV5BY2I3NjExNjctNWE2Zi00NmMwLTkyMjMtNTM0OTU3ZDQyYWY4XkEyXkFqcGdeQXVyNTA0OTU0OTQ@._V1_QL75_UY281_CR5,0,190,281_.jpg",1.29820709842664,17014007.5389682,"2010's"
"25417",2012,"6,825","The Angels' Share","$13,090,471","$346,669","2.6%","$12,743,802","97.4%","tt1924394","https://m.media-amazon.com/images/M/MV5BZWE2ZmViNmItODQ5YS00OTJkLWExZTMtZDZhZDhhYzYzMzlhXkEyXkFqcGdeQXVyMjQ2MTk1OTE@._V1_QL75_UY281_CR4,0,190,281_.jpg",1.29820709842664,16994142.373948,"2010's"
"24215",2012,"6,845","Friends with Kids","$13,041,254","$7,251,073","55.6%","$5,790,181","44.4%","tt1720616","https://m.media-amazon.com/images/M/MV5BMjIyMDI5ODkzNl5BMl5BanBnXkFtZTcwMTE4MzQzNw@@._V1_QL75_UX190_CR0,0,190,281_.jpg",1.29820709842664,16930248.5151848,"2010's"
"26305",2012,"6,898","Party Crashers","$12,867,493","-","-","$12,867,493","100%","tt0452664","https://m.media-amazon.com/images/M/MV5BYmU3ZTdjOGYtZTljMi00Mzc2LTkwNmUtMTNiNmYwNjdiMDUxXkEyXkFqcGdeQXVyMTkzODUwNzk@._V1_QL75_UY281_CR0,0,190,281_.jpg",1.29820709842664,16704670.7515551,"2010's"
"24431",2012,"6,938","Populaire","$12,698,385","$179,091","1.4%","$12,519,294","98.6%","tt2070776","https://m.media-amazon.com/images/M/MV5BN2JkODAxMTYtMmIxNi00NmZjLTk4ZDUtM2YyZTY0MTQ3OWIzXkEyXkFqcGdeQXVyMTYzMDM0NTU@._V1_QL75_UX190_CR0,2,190,281_.jpg",1.29820709842664,16485133.5455543,"2010's"
"24255",2012,"6,940","S Novym godom, mamy!","$12,690,623","-","-","$12,690,623","100%","tt2592500","https://m.media-amazon.com/images/M/MV5BNWMzM2E5NGUtNzlmNy00NTNmLTg0ZTctMDI5MzE1MzYxZjQ4XkEyXkFqcGdeQXVyMzYyNjE5NDY@._V1_QL75_UY281_CR4,0,190,281_.jpg",1.29820709842664,16475056.8620563,"2010's"
"24143",2012,"6,960","Humanoid Monster, Bem the Movie","$12,628,578","-","-","$12,628,578","100%","tt2210828","https://m.media-amazon.com/images/M/MV5BZTBjYWQ3YjktZjEwZC00NzQ4LTkwOWEtNjI4ZjZmYWI3Y2Y4XkEyXkFqcGdeQXVyMTk0MzIxOQ@@._V1_QL75_UY281_CR6,0,190,281_.jpg",1.29820709842664,16394509.6026345,"2010's"
"24952",2012,"6,964","August 8","$12,620,072","-","-","$12,620,072","100%","tt2094767","https://m.media-amazon.com/images/M/MV5BYjY1YWIwNjItODRjNi00MzhjLThlM2YtMzk5ZDA3MjZiMzI2XkEyXkFqcGdeQXVyNzMzMjU5NDY@._V1_QL75_UX190_CR0,11,190,281_.jpg",1.29820709842664,16383467.0530553,"2010's"
